-5.0000e+00     1.9805e+01  1.7727e-01  5.3936e-02  4.1881e-02 -2.1147e+01 -1.8581e-01 -5.4437e-02 -4.1093e-02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00
-4.9917e+00     2.1116e+01  1.7917e-01  5.5288e-02  4.2920e-02 -2.0487e+01 -1.7337e-01 -5.1339e-02 -3.6915e-02  1.7022e-01  1.4827e-03  4.5434e-04  3.5275e-04 -1.7319e-01 -1.4941e-03 -4.4000e-04 -3.2449e-04
-4.9833e+00     1.9172e+01  1.5563e-01  5.1304e-02  3.8525e-02 -1.9855e+01 -1.5703e-01 -4.9586e-02 -3.4282e-02  3.3781e-01  2.8754e-03  8.9773e-04  6.9154e-04 -3.4100e-01 -2.8684e-03 -8.5982e-04 -6.2065e-04
-4.9750e+00     1.4275e+01  1.2736e-01  4.7948e-02  3.2004e-02 -1.5956e+01 -1.4119e-01 -4.8832e-02 -3.0830e-02  4.7694e-01  4.0525e-03  1.3106e-03  9.8492e-04 -4.8997e-01 -4.1089e-03 -1.2692e-03 -8.9150e-04
-4.9667e+00     1.8251e+01  1.7509e-01  6.9226e-02  5.0621e-02 -1.6816e+01 -1.7017e-01 -6.1725e-02 -4.1547e-02  6.1224e-01  5.3106e-03  1.7980e-03  1.3286e-03 -6.2629e-01 -5.4041e-03 -1.7291e-03 -1.1926e-03
-4.9583e+00     2.4219e+01  2.3292e-01  8.6545e-02  6.8132e-02 -2.1518e+01 -2.1471e-01 -8.0987e-02 -5.9797e-02  7.8891e-01  7.0078e-03  2.4460e-03  1.8226e-03 -7.8575e-01 -7.0051e-03 -2.3227e-03 -1.6141e-03
-4.9500e+00     2.8316e+01  2.5691e-01  8.6946e-02  7.6623e-02 -2.6332e+01 -2.4874e-01 -8.4420e-02 -6.7767e-02  1.0074e+00  9.0454e-03  3.1676e-03  2.4247e-03 -9.8479e-01 -8.9329e-03 -3.0108e-03 -2.1448e-03
-4.9417e+00     2.6077e+01  2.3955e-01  9.4568e-02  7.5479e-02 -2.7564e+01 -2.3820e-01 -8.2363e-02 -6.6504e-02  1.2337e+00  1.1111e-02  3.9227e-03  3.0574e-03 -1.2090e+00 -1.0958e-02 -3.7046e-03 -2.7033e-03
-4.9333e+00     2.2712e+01  2.3863e-01  6.5161e-02  5.4754e-02 -2.4946e+01 -2.3964e-01 -7.7816e-02 -6.0263e-02  1.4366e+00  1.3100e-02  4.5871e-03  3.5992e-03 -1.4274e+00 -1.2946e-02 -4.3709e-03 -3.2306e-03
-4.9250e+00     1.6543e+01  2.0895e-01  4.1772e-02  3.3179e-02 -1.7275e+01 -2.1641e-01 -6.1073e-02 -3.9358e-02  1.5999e+00  1.4961e-02  5.0319e-03  3.9650e-03 -1.6030e+00 -1.4843e-02 -4.9486e-03 -3.6450e-03
-4.9167e+00     1.8078e+01  2.1455e-01  4.3959e-02  3.3514e-02 -1.8654e+01 -2.2019e-01 -5.9167e-02 -3.9693e-02  1.7439e+00  1.6723e-02  5.3886e-03  4.2424e-03 -1.7525e+00 -1.6659e-02 -5.4488e-03 -3.9738e-03
-4.9083e+00     2.0876e+01  2.1822e-01  5.6806e-02  3.9354e-02 -2.1275e+01 -2.2516e-01 -6.8689e-02 -4.4026e-02  1.9060e+00  1.8523e-02  5.8077e-03  4.5455e-03 -1.9186e+00 -1.8512e-02 -5.9806e-03 -4.3221e-03
-4.9000e+00     2.8298e+01  2.5990e-01  8.8770e-02  5.3032e-02 -2.4943e+01 -2.5006e-01 -7.8260e-02 -4.8608e-02  2.1105e+00  2.0512e-02  6.4133e-03  4.9298e-03 -2.1109e+00 -2.0489e-02 -6.5919e-03 -4.7074e-03
-4.8917e+00     2.2676e+01  1.9839e-01  6.1411e-02  4.0397e-02 -2.2297e+01 -2.0346e-01 -5.7438e-02 -3.7250e-02  2.3226e+00  2.2419e-02  7.0380e-03  5.3184e-03 -2.3074e+00 -2.2375e-02 -7.1564e-03 -5.0646e-03
-4.8833e+00     1.4850e+01  1.2600e-01  3.5213e-02  2.4242e-02 -1.6274e+01 -1.4539e-01 -3.6521e-02 -2.6249e-02  2.4787e+00  2.3768e-02  7.4399e-03  5.5873e-03 -2.4678e+00 -2.3826e-02 -7.5472e-03 -5.3287e-03
-4.8750e+00     1.9942e+01  1.8511e-01  5.4988e-02  4.3866e-02 -1.5171e+01 -1.3553e-01 -3.2944e-02 -2.5081e-02  2.6234e+00  2.5062e-02  7.8151e-03  5.8706e-03 -2.5986e+00 -2.4995e-02 -7.8362e-03 -5.5422e-03
-4.8667e+00     2.3930e+01  2.2260e-01  5.8742e-02  4.5603e-02 -2.5374e+01 -2.7056e-01 -6.0833e-02 -4.1046e-02  2.8059e+00  2.6758e-02  8.2882e-03  6.2428e-03 -2.7673e+00 -2.6684e-02 -8.2262e-03 -5.8173e-03
-4.8583e+00     2.4907e+01  2.3805e-01  5.0459e-02  4.6520e-02 -2.5446e+01 -2.6400e-01 -5.1046e-02 -4.2334e-02  3.0090e+00  2.8674e-02  8.7425e-03  6.6260e-03 -2.9787e+00 -2.8908e-02 -8.6916e-03 -6.1641e-03
