-5.0000e+00     1.8727e+01  1.9751e-01 -1.8728e+01 -1.9753e-01  0.0000e+00  0.0000e+00 -0.0000e+00 -0.0000e+00
-4.9917e+00     2.3913e+01  2.5127e-01 -2.3914e+01 -2.5128e-01  1.7737e-01  1.8668e-03 -1.7738e-01 -1.8670e-03
-4.9833e+00     2.1751e+01  2.2522e-01 -2.1750e+01 -2.2521e-01  3.6732e-01  3.8489e-03 -3.6733e-01 -3.8491e-03
-4.9750e+00     1.7932e+01  1.8301e-01 -1.7931e+01 -1.8300e-01  5.3239e-01  5.5471e-03 -5.3240e-01 -5.5471e-03
-4.9667e+00     2.1259e+01  2.6574e-01 -2.1259e+01 -2.6573e-01  6.9541e-01  7.4137e-03 -6.9541e-01 -7.4137e-03
-4.9583e+00     1.9855e+01  2.2812e-01 -1.9854e+01 -2.2812e-01  8.6643e-01  9.4681e-03 -8.6643e-01 -9.4680e-03
-4.9500e+00     1.6683e+01  2.0171e-01 -1.6682e+01 -2.0170e-01  1.0184e+00  1.1256e-02 -1.0184e+00 -1.1256e-02
-4.9417e+00     1.7687e+01  2.4179e-01 -1.7689e+01 -2.4184e-01  1.1614e+00  1.3101e-02 -1.1614e+00 -1.3101e-02
-4.9333e+00     2.9569e+01  4.9247e-01 -2.9583e+01 -4.9274e-01  1.3580e+00  1.6155e-02 -1.3580e+00 -1.6157e-02
-4.9250e+00     1.6722e+01  2.4067e-01 -1.6720e+01 -2.4064e-01  1.5505e+00  1.9205e-02 -1.5506e+00 -1.9207e-02
-4.9167e+00     1.5375e+01  2.0247e-01 -1.5377e+01 -2.0249e-01  1.6840e+00  2.1048e-02 -1.6842e+00 -2.1051e-02
-4.9083e+00     2.1015e+01  2.5494e-01 -2.1017e+01 -2.5495e-01  1.8354e+00  2.2951e-02 -1.8355e+00 -2.2953e-02
-4.9000e+00     1.5950e+01  1.8970e-01 -1.5949e+01 -1.8969e-01  1.9892e+00  2.4801e-02 -1.9893e+00 -2.4803e-02
-4.8917e+00     2.0750e+01  2.4108e-01 -2.0751e+01 -2.4109e-01  2.1418e+00  2.6593e-02 -2.1420e+00 -2.6595e-02
-4.8833e+00     2.4347e+01  2.8759e-01 -2.4349e+01 -2.8762e-01  2.3294e+00  2.8792e-02 -2.3296e+00 -2.8794e-02
-4.8750e+00     3.0666e+01  4.0838e-01 -3.0668e+01 -4.0842e-01  2.5583e+00  3.1687e-02 -2.5584e+00 -3.1690e-02
-4.8667e+00     2.0012e+01  2.6373e-01 -2.0000e+01 -2.6356e-01  2.7691e+00  3.4483e-02 -2.7692e+00 -3.4485e-02
-4.8583e+00     8.8681e+00  1.1486e-01 -8.8688e+00 -1.1488e-01  2.8892e+00  3.6057e-02 -2.8893e+00 -3.6059e-02
-4.8500e+00     2.5762e+01  3.4107e-01 -2.5755e+01 -3.4098e-01  3.0332e+00  3.7954e-02 -3.0333e+00 -3.7955e-02
-4.8417e+00     2.8271e+01  3.1606e-01 -2.8271e+01 -3.1606e-01  3.2580e+00  4.0687e-02 -3.2580e+00 -4.0688e-02
-4.8333e+00     2.9645e+01  3.2035e-01 -2.9645e+01 -3.2035e-01  3.4989e+00  4.3335e-02 -3.4990e+00 -4.3336e-02
-4.8250e+00     2.3026e+01  2.6561e-01 -2.3024e+01 -2.6560e-01  3.7180e+00  4.5772e-02 -3.7180e+00 -4.5773e-02
-4.8167e+00     1.9798e+01  2.3093e-01 -1.9798e+01 -2.3093e-01  3.8962e+00  4.7838e-02 -3.8962e+00 -4.7839e-02
-4.8083e+00     1.9357e+01  2.2479e-01 -1.9357e+01 -2.2479e-01  4.0590e+00  4.9733e-02 -4.0590e+00 -4.9734e-02
-4.8000e+00     2.0461e+01  2.4057e-01 -2.0462e+01 -2.4057e-01  4.2247e+00  5.1669e-02 -4.2247e+00 -5.1670e-02
-4.7917e+00     2.9248e+01  3.2461e-01 -2.9247e+01 -3.2461e-01  4.4314e+00  5.4020e-02 -4.4315e+00 -5.4021e-02
-4.7833e+00     2.3163e+01  2.7561e-01 -2.3162e+01 -2.7559e-01  4.6495e+00  5.6517e-02 -4.6495e+00 -5.6518e-02
-4.7750e+00     2.2155e+01  2.4790e-01 -2.2155e+01 -2.4791e-01  4.8380e+00  5.8695e-02 -4.8380e+00 -5.8695e-02
-4.7667e+00     2.3151e+01  2.5871e-01 -2.3152e+01 -2.5871e-01  5.0264e+00  6.0802e-02 -5.0264e+00 -6.0803e-02
-4.7583e+00     2.4025e+01  2.6134e-01 -2.4025e+01 -2.6134e-01  5.2227e+00  6.2965e-02 -5.2227e+00 -6.2966e-02
-4.7500e+00     2.7121e+01  2.9495e-01 -2.7122e+01 -2.9496e-01  5.4354e+00  6.5279e-02 -5.4354e+00 -6.5280e-02
-4.7417e+00     2.6686e+01  3.0772e-01 -2.6686e+01 -3.0772e-01  5.6593e+00  6.7786e-02 -5.6593e+00 -6.7787e-02
-4.7333e+00     1.8860e+01  2.1409e-01 -1.8859e+01 -2.1409e-01  5.8487e+00  6.9957e-02 -5.8487e+00 -6.9958e-02
-4.7250e+00     2.4172e+01  2.4199e-01 -2.4174e+01 -2.4200e-01  6.0277e+00  7.1854e-02 -6.0277e+00 -7.1855e-02
-4.7167e+00     2.1164e+01  2.1669e-01 -2.1164e+01 -2.1668e-01  6.2163e+00  7.3762e-02 -6.2163e+00 -7.3763e-02
-4.7083e+00     2.6300e+01  3.4283e-01 -2.6305e+01 -3.4291e-01  6.4137e+00  7.6089e-02 -6.4138e+00 -7.6091e-02
