0.0146341,0.81626
0.0731707,0.805439
0.146341,0.794786
0.204878,0.795458
0.263415,0.796131
0.329268,0.796888
0.417073,0.797897
0.47561,0.79857
0.541463,0.810821
0.6,0.811494
0.680488,0.835408
0.739024,0.847575
0.812195,0.848416
0.870732,0.883572
0.973171,0.884749
1.02439,0.873844
1.10488,0.863274
1.18537,0.887188
1.22195,0.853126
1.26585,0.796159
1.30244,0.750603
1.36829,0.762854
1.39024,0.866555
1.41951,1.02781
1.43415,1.20039
1.4561,1.38455
1.47073,1.51116
1.48537,1.68374
1.49268,1.83325
1.50732,1.95985
1.52195,2.12094
1.53659,2.32801
1.55122,2.61553
1.56585,2.8111
1.58049,2.9607
1.60976,3.13345
1.63902,3.21424
1.66829,3.15711
1.68293,3.05383
1.70488,2.89316
1.7122,2.69784
1.73415,2.50269
1.7561,2.27306
1.77073,2.02035
1.79268,1.80221
1.80732,1.59549
1.82927,1.40034
1.85122,1.20519
1.88049,1.0561
1.90244,0.964396
1.94634,0.930418
2.02683,1.0118
2.13659,1.04755
2.23171,1.09462
2.32683,1.1072
2.40732,1.13112
2.4439,1.212
2.48049,1.33886
2.50976,1.50011
2.53902,1.66137
2.56098,1.82254
