-5.0000e+00     2.6806e+01  1.3422e-02  3.3191e-01  8.8589e-03  1.3866e-03 -2.7174e+01 -1.4847e-02 -4.1722e-01 -9.1481e-03 -7.2028e-03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00
-4.9917e+00     4.0938e+01  2.0166e-02  4.1936e-01  1.4293e-02  2.0241e-03 -2.8731e+01 -1.7067e-02 -3.4756e-01 -9.1696e-03 -7.6533e-03  2.8180e-01  1.3972e-04  3.1251e-03  9.6306e-05  1.4187e-05 -2.3255e-01 -1.3276e-04 -3.1813e-03 -7.6197e-05 -6.1798e-05
-4.9833e+00     3.3219e+01  1.4220e-02  3.0448e-01  1.2022e-02  2.0075e-03 -4.0114e+01 -2.4966e-02 -4.2412e-01 -1.3538e-02 -1.0361e-02  5.9027e-01  2.8276e-04  6.1361e-03  2.0577e-04  3.0958e-05 -5.1892e-01 -3.0760e-04 -6.3913e-03 -1.7065e-04 -1.3673e-04
-4.9750e+00     2.7639e+01  1.3429e-02  2.0534e-01  9.1684e-03  1.7675e-03 -2.7681e+01 -1.3685e-02 -2.6891e-01 -9.7625e-03 -9.0857e-03  8.4343e-01  3.9777e-04  8.2568e-03  2.9392e-04  4.6660e-05 -8.0093e-01 -4.6838e-04 -9.2740e-03 -2.6758e-04 -2.1763e-04
-4.9667e+00     2.8804e+01  1.4524e-02  1.5430e-01  9.1755e-03  1.9057e-03 -2.3780e+01 -1.1859e-02 -2.0466e-01 -7.8825e-03 -7.3819e-03  1.0782e+00  5.1405e-04  9.7527e-03  3.7022e-04  6.1940e-05 -1.0150e+00 -5.7464e-04 -1.1244e-02 -3.4098e-04 -2.8613e-04
-4.9583e+00     2.8350e+01  1.4323e-02  1.2265e-01  8.9712e-03  2.2241e-03 -2.7023e+01 -1.7135e-02 -1.4293e-01 -8.8110e-03 -8.3471e-03  1.3160e+00  6.3404e-04  1.0905e-02  4.4571e-04  7.9119e-05 -1.2263e+00 -6.9524e-04 -1.2690e-02 -4.1042e-04 -3.5156e-04
-4.9500e+00     2.3508e+01  1.2226e-02  9.1897e-02  7.3008e-03  2.1653e-03 -2.7781e+01 -1.6912e-02 -1.2838e-01 -8.9078e-03 -1.0345e-02  1.5317e+00  7.4448e-04  1.1797e-02  5.1340e-04  9.7377e-05 -1.4543e+00 -8.3687e-04 -1.3818e-02 -4.8412e-04 -4.2931e-04
-4.9417e+00     1.8482e+01  9.1560e-03  6.6939e-02  5.8556e-03  1.8784e-03 -2.5720e+01 -1.5629e-02 -9.7938e-02 -7.9341e-03 -1.3090e-02  1.7063e+00  8.3343e-04  1.2458e-02  5.6812e-04  1.1420e-04 -1.6768e+00 -9.7223e-04 -1.4760e-02 -5.5418e-04 -5.2679e-04
-4.9333e+00     1.6975e+01  8.1179e-03  5.3250e-02  5.6498e-03  1.8713e-03 -2.0389e+01 -1.2310e-02 -7.4602e-02 -6.5307e-03 -1.1700e-02  1.8538e+00  9.0528e-04  1.2958e-02  6.1598e-04  1.2980e-04 -1.8686e+00 -1.0885e-03 -1.5478e-02 -6.1435e-04 -6.2991e-04
-4.9250e+00     1.6837e+01  8.0512e-03  4.2126e-02  5.9209e-03  1.8634e-03 -1.7057e+01 -9.1040e-03 -5.3912e-02 -5.5785e-03 -1.0923e-02  1.9945e+00  9.7254e-04  1.3355e-02  6.6411e-04  1.4533e-04 -2.0244e+00 -1.1775e-03 -1.6012e-02 -6.6472e-04 -7.2402e-04
