-5.0000e+00     2.9416e+01  8.5527e-02  4.1359e-01  9.0445e-03  1.0096e-01 -3.0968e+01 -9.0214e-02 -3.7833e-01 -2.2083e-02 -1.2542e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00
-4.9917e+00     2.5340e+01  8.1237e-02  3.9361e-01  7.7033e-03  9.5977e-02 -2.7898e+01 -8.7953e-02 -3.2320e-01 -2.2463e-02 -1.2649e-01  2.2777e-01  6.9370e-04  3.3577e-03  6.9666e-05  8.1921e-04 -2.4487e-01 -7.4113e-04 -2.9182e-03 -1.8530e-04 -1.0479e-03
-4.9833e+00     2.1186e+01  7.4332e-02  3.5654e-01  6.7324e-03  9.0854e-02 -2.2909e+01 -7.5690e-02 -2.6819e-01 -1.9887e-02 -1.1244e-01  4.2131e-01  1.3408e-03  6.4781e-03  1.2972e-04  1.5964e-03 -4.5622e-01 -1.4218e-03 -5.3782e-03 -3.6146e-04 -2.0418e-03
-4.9750e+00     1.9831e+01  7.3004e-02  3.3368e-01  6.2411e-03  9.8668e-02 -2.2851e+01 -7.0564e-02 -2.5426e-01 -1.7204e-02 -1.1622e-01  5.9192e-01  1.9537e-03  9.3493e-03  1.8368e-04  2.3847e-03 -6.4657e-01 -2.0302e-03 -7.5514e-03 -5.1575e-04 -2.9930e-03
-4.9667e+00     1.9629e+01  7.3596e-02  3.2479e-01  6.1441e-03  1.0645e-01 -2.9727e+01 -8.9707e-02 -3.2430e-01 -1.9182e-02 -1.4349e-01  7.5607e-01  2.5635e-03  1.2088e-02  2.3520e-04  3.2380e-03 -8.6528e-01 -2.6969e-03 -9.9581e-03 -6.6711e-04 -4.0734e-03
-4.9583e+00     1.9468e+01  7.2919e-02  3.0849e-01  5.8010e-03  1.1344e-01 -2.5877e+01 -7.3243e-02 -3.3010e-01 -1.8090e-02 -1.4080e-01  9.1870e-01  3.1730e-03  1.4723e-02  2.8489e-04  4.1527e-03 -1.0966e+00 -3.3747e-03 -1.2680e-02 -8.2215e-04 -5.2559e-03
-4.9500e+00     2.5294e+01  9.3697e-02  3.8007e-01  7.5533e-03  1.6707e-01 -2.1867e+01 -5.9390e-02 -3.0263e-01 -1.4551e-02 -1.2373e-01  1.1049e+00  3.8661e-03  1.7587e-02  3.4044e-04  5.3195e-03 -1.2952e+00 -3.9265e-03 -1.5312e-02 -9.5792e-04 -6.3563e-03
-4.9417e+00     2.6366e+01  9.9531e-02  4.0086e-01  8.1183e-03  1.9036e-01 -2.0973e+01 -5.7546e-02 -2.9851e-01 -1.4055e-02 -1.1953e-01  1.3198e+00  4.6698e-03  2.0835e-02  4.0563e-04  6.8063e-03 -1.4734e+00 -4.4129e-03 -1.7813e-02 -1.0769e-03 -7.3682e-03
-4.9333e+00     2.4082e+01  8.3336e-02  3.6992e-01  7.8869e-03  1.8558e-01 -2.0655e+01 -5.7482e-02 -3.0060e-01 -1.4735e-02 -1.1951e-01  1.5296e+00  5.4305e-03  2.4042e-02  4.7221e-04  8.3701e-03 -1.6465e+00 -4.8914e-03 -2.0305e-02 -1.1967e-03 -8.3625e-03
-4.9250e+00     2.1961e+01  7.2242e-02  3.4386e-01  7.9839e-03  1.7154e-01 -2.2053e+01 -6.9727e-02 -3.0308e-01 -1.7656e-02 -1.3717e-01  1.7212e+00  6.0777e-03  2.7011e-02  5.3822e-04  9.8557e-03 -1.8242e+00 -5.4205e-03 -2.2816e-02 -1.3314e-03 -9.4303e-03
